Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,f_a_age_group,f_a_admission_band,f_a_prev_qual_band,f_a_financial_risk,f_a_parental_edu_level,f_a_is_mature_student,f_a_first_choice,f_a_attended_daytime,f_a_prior_higher_edu,f_a_domestic_student,admission_grade_band,age_group,financial_risk,f_b_sem1_pass_rate,f_b_sem2_pass_rate,f_b_sem1_evaluation_rate,f_b_sem2_evaluation_rate,f_b_academic_progress,f_b_academic_performance_score,f_b_sem1_engagement,f_b_sem2_engagement,f_b_no_evaluation_flag,f_b_credited_ratio,f_b_grade_improvement,f_b_total_units_approved,f_b_total_units_enrolled,semester_1_pass_rate,semester_2_pass_rate,semester_1_evaluation_rate,semester_2_evaluation_rate,academic_progress,academic_performance_score,attendance_mode,early_admission_risk,current_academic_risk
1,17,2,9238,1,1,115.0,1,19,38,7,8,116.4,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,20-24,Q1,Q1,MEDIUM,28.5,1,0,1,0,1,Q1,20-24,MEDIUM,1.0,1.0,1.5,1.5,1.0,12.330357142857144,1.5,1.5,0,0.0,1.9107142857142865,12,12,1.0,1.0,1.5,1.5,1.0,12.330357142857144,Daytime,HIGH,LOW
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled,15-19,Q3,Q3,MEDIUM,19.0,0,1,1,0,1,Q3,15-19,MEDIUM,1.0,0.8,1.8,1.4,0.9,12.814814814814815,1.8,1.4,0,0.0,0.3333333333333339,9,10,1.0,0.8,1.8,1.4,0.9,12.814814814814815,Daytime,LOW,MEDIUM
1,1,1,9147,1,1,135.0,1,19,1,9,9,122.1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,20-24,Q2,Q3,MEDIUM,10.0,1,1,1,0,1,Q2,20-24,MEDIUM,1.0,1.0,1.2,1.2,1.0,12.166666666666668,1.2,1.2,0,0.0,0.3333333333333339,10,10,1.0,1.0,1.2,1.2,1.0,12.166666666666668,Daytime,MEDIUM,LOW
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled,15-19,Q2,Q2,MEDIUM,3.0,0,0,1,0,1,Q2,15-19,MEDIUM,0.8571428571428571,0.8571428571428571,1.2857142857142858,1.0,0.8571428571428571,13.325000000000001,1.2857142857142858,1.0,0,0.0,0.7833333333333368,12,14,0.8571428571428571,0.8571428571428571,1.2857142857142858,1.0,0.8571428571428571,13.325000000000001,Daytime,HIGH,MEDIUM
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled,20-24,Q4,Q4,MEDIUM,4.5,1,1,1,0,1,Q4,20-24,MEDIUM,0.8333333333333334,0.8333333333333334,2.5,2.8333333333333335,0.8333333333333334,11.214285714285714,2.5,2.8333333333333335,0,0.0,-1.2857142857142865,10,12,0.8333333333333334,0.8333333333333334,2.5,2.8333333333333335,0.8333333333333334,11.214285714285714,Daytime,LOW,MEDIUM
1,51,1,9070,1,1,125.0,1,42,3,125,124,130.0,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,20-24,Q3,Q1,MEDIUM,22.5,1,1,1,0,1,Q3,20-24,MEDIUM,1.0,0.6666666666666666,1.1666666666666667,1.5,0.8333333333333334,13.059999999999999,1.1666666666666667,1.5,0,0.16666666666666666,0.5666666666666664,10,12,1.0,0.6666666666666666,1.1666666666666667,1.5,0.8333333333333334,13.059999999999999,Daytime,MEDIUM,MEDIUM
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,15-19,Q4,Q4,HIGH,1.0,0,1,1,0,1,Q4,15-19,HIGH,0.6,0.4,1.8,1.6,0.5,12.2,1.8,1.6,0,0.0,2.166666666666666,5,10,0.6,0.4,1.8,1.6,0.5,12.2,Daytime,LOW,HIGH
1,18,1,8014,0,1,138.0,1,19,1,9,5,134.5,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,15-19,Q3,Q3,MEDIUM,10.0,0,1,0,0,1,Q3,15-19,MEDIUM,1.0,1.0,1.0,1.3333333333333333,1.0,13.520833333333334,1.0,1.3333333333333333,0,0.0,1.708333333333334,12,12,1.0,1.0,1.0,1.3333333333333333,1.0,13.520833333333334,Evening,LOW,LOW
1,1,1,9991,0,1,130.0,1,2,37,3,9,131.4,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,30-39,Q3,Q2,MEDIUM,19.5,1,1,0,0,1,Q3,30-39,MEDIUM,1.0,1.0,1.2,1.8,1.0,12.914285714285715,1.2,1.8,0,0.0,1.0285714285714285,10,10,1.0,1.0,1.2,1.8,1.0,12.914285714285715,Evening,LOW,LOW
1,39,1,33,1,1,130.0,1,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,30-39,Q1,Q2,HIGH,37.5,1,1,1,0,1,Q1,30-39,HIGH,0.0,0.14285714285714285,1.0,1.0,0.07142857142857142,10.0,1.0,1.0,0,0.0,0.0,1,14,0.0,0.14285714285714285,1.0,1.0,0.07142857142857142,10.0,Daytime,HIGH,HIGH
1,39,1,9119,1,10,133.1,1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,40+,Q3,Q2,MEDIUM,35.5,1,1,1,0,1,Q3,40+,MEDIUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,Daytime,MEDIUM,HIGH
1,43,1,9147,1,1,140.0,1,37,37,6,6,122.9,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,40+,Q2,Q3,MEDIUM,37.0,1,1,1,0,1,Q2,40+,MEDIUM,0.2,0.4,2.0,1.6,0.3,11.333333333333334,2.0,1.6,0,0.0,2.0,3,10,0.2,0.4,2.0,1.6,0.3,11.333333333333334,Daytime,MEDIUM,HIGH
4,39,1,9991,0,1,120.0,1,19,19,9,3,113.9,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,30-39,Q1,Q1,MEDIUM,19.0,1,1,0,0,1,Q1,30-39,MEDIUM,1.0,1.0,1.6,1.0,1.0,11.3,1.6,1.0,0,0.0,0.5999999999999996,10,10,1.0,1.0,1.6,1.0,1.0,11.3,Evening,HIGH,LOW
1,44,1,9130,1,39,120.0,6,4,4,3,6,120.0,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,20-24,Q2,Q1,HIGH,4.0,1,1,1,0,0,Q2,20-24,HIGH,0.5,0.5,2.1666666666666665,1.8333333333333333,0.5,11.833333333333334,2.1666666666666665,1.8333333333333333,0,0.25,0.3333333333333339,6,12,0.5,0.5,2.1666666666666665,1.8333333333333333,0.5,11.833333333333334,Daytime,HIGH,HIGH
1,1,5,9773,1,1,126.0,1,3,3,2,2,121.1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,15-19,Q2,Q2,HIGH,3.0,0,0,1,0,1,Q2,15-19,HIGH,0.6666666666666666,0.0,1.0,1.0,0.36363636363636365,12.75,1.0,1.0,0,0.0,0.0,4,11,0.6666666666666666,0.0,1.0,1.0,0.36363636363636365,12.75,Daytime,MEDIUM,HIGH
1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,20-24,Q2,Q2,MEDIUM,11.0,1,0,1,0,1,Q2,20-24,MEDIUM,1.0,1.0,1.0,1.0,1.0,15.3,1.0,1.0,0,0.0,1.0,10,10,1.0,1.0,1.0,1.0,1.0,15.3,Daytime,MEDIUM,LOW
1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,20-24,Q1,Q1,MEDIUM,2.0,1,0,1,0,1,Q1,20-24,MEDIUM,0.7142857142857143,0.875,1.2857142857142858,1.125,0.8,14.17,1.2857142857142858,1.125,0,0.0,0.4148571428571408,12,15,0.7142857142857143,0.875,1.2857142857142858,1.125,0.8,14.17,Daytime,HIGH,MEDIUM
1,17,1,9773,1,1,120.0,1,1,38,5,5,121.4,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,20-24,Q2,Q1,HIGH,19.5,1,1,1,0,1,Q2,20-24,HIGH,0.6666666666666666,0.8333333333333334,1.1666666666666667,1.1666666666666667,0.75,13.444444444444445,1.1666666666666667,1.1666666666666667,0,0.0,0.8000000000000007,9,12,0.6666666666666666,0.8333333333333334,1.1666666666666667,1.1666666666666667,0.75,13.444444444444445,Daytime,MEDIUM,MEDIUM
1,39,1,9991,0,1,133.1,1,37,37,9,9,109.7,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,25-29,Q1,Q2,MEDIUM,37.0,1,1,0,0,1,Q1,25-29,MEDIUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,Evening,HIGH,HIGH
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled,20-24,Q3,Q4,MEDIUM,38.0,1,1,0,0,1,Q3,20-24,MEDIUM,0.4,0.6,1.8,2.2,0.5,13.2,1.8,2.2,0,0.0,2.833333333333334,5,10,0.4,0.6,1.8,2.2,0.5,13.2,Evening,LOW,HIGH
1,17,2,9238,1,1,130.0,1,19,19,9,9,127.6,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,15-19,Q3,Q2,MEDIUM,19.0,0,0,1,0,1,Q3,15-19,MEDIUM,1.0,0.8333333333333334,1.0,1.3333333333333333,0.9166666666666666,12.363636363636363,1.0,1.3333333333333333,0,0.0,1.5333333333333332,11,12,1.0,0.8333333333333334,1.0,1.3333333333333333,0.9166666666666666,12.363636363636363,Daytime,MEDIUM,MEDIUM
1,17,6,9500,1,1,132.0,1,37,19,7,7,132.4,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,20-24,Q3,Q2,LOW,28.0,1,0,1,0,1,Q3,20-24,LOW,0.8571428571428571,0.875,1.1428571428571428,1.125,0.8666666666666667,13.653846153846153,1.1428571428571428,1.125,0,0.0,0.2547619047619065,13,15,0.8571428571428571,0.875,1.1428571428571428,1.125,0.8666666666666667,13.653846153846153,Daytime,LOW,MEDIUM
1,44,1,8014,0,39,130.0,1,1,19,9,9,133.4,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,20-24,Q3,Q2,LOW,10.0,1,1,0,0,1,Q3,20-24,LOW,1.0,1.0,1.0,1.1666666666666667,1.0,12.392857142857144,1.0,1.1666666666666667,0,0.4166666666666667,1.7857142857142865,12,12,1.0,1.0,1.0,1.1666666666666667,1.0,12.392857142857144,Evening,LOW,LOW
